station_code,station_name,year,month,day,date,air_tmax,air_tmax_source,air_tmin,air_tmin_source,elev_m,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,extracted,latitude,longitude,mslp,mslp_source,radiation,radiation_source,rainfall,rainfall_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,vp,vp_deficit,vp_deficit_source,vp_source
040913,Brisbane,2004,1,1,2004-01-01,29.2,0,18.4,0,8.1 m,5.2,26,8.9,26,7.1,26,6.1,26,7.5,26,8.2,25,7.3,26,8.2,25,7.4,26,2024-06-16,-27.4808,153.0389,1013.7,0,28.6,42,0,0,42.9,26,82.3,26,17.4,17.2,26,0
040913,Brisbane,2004,1,2,2004-01-02,29.8,0,18.9,0,8.1 m,5.3,26,8.5,26,6.9,26,6,26,7.2,26,6.8,25,7.1,26,6.8,25,7.2,26,2024-06-16,-27.4808,153.0389,1012.4,0,27.3,42,0,0,45.1,26,86.6,26,18.9,16.9,26,0
040913,Brisbane,2004,1,3,2004-01-03,29.6,0,21.8,0,8.1 m,4.3,26,6.7,26,5.5,26,4.6,26,5.6,26,6.5,25,5.6,26,6.5,25,5.5,26,2024-06-16,-27.4808,153.0389,1012.3,0,19.4,42,0,0,56.4,26,89.6,26,23.4,13.6,26,0
040913,Brisbane,2004,1,4,2004-01-04,29.2,0,22.5,0,8.1 m,5.5,26,6.1,26,5.8,26,4.4,26,5.1,26,4.9,25,5.9,26,4.9,25,5.1,26,2024-06-16,-27.4808,153.0389,1013.1,0,20.1,42,5.8,0,65.7,26,97.6,26,26.6,10.2,26,0
040913,Brisbane,2004,1,5,2004-01-05,30.8,0,23.6,0,8.1 m,7.5,26,8.7,26,8.1,26,6.2,26,7.2,26,6.6,25,8.3,26,6.6,25,7,26,2024-06-16,-27.4808,153.0389,1012.7,0,29.1,42,4.4,0,58.8,26,89.6,26,26.1,14,26,0
040913,Brisbane,2004,1,6,2004-01-06,32.7,0,23.8,0,8.1 m,7.5,26,10.6,26,9,26,7.2,26,8.6,26,8.1,25,9.3,26,8.1,25,8.3,26,2024-06-16,-27.4808,153.0389,1008.8,0,32.2,42,0,0,47.9,26,80.4,26,23.7,19.9,26,0
040913,Brisbane,2004,1,7,2004-01-07,34.2,0,25,0,8.1 m,8.2,26,10.7,26,9.4,26,7.4,26,8.7,26,9.5,25,9.7,26,9.5,25,8.4,26,2024-06-16,-27.4808,153.0389,1003.8,0,32.2,42,0,0,50,26,84.9,26,26.9,20.4,26,0
040913,Brisbane,2004,1,8,2004-01-08,38,0,27.1,0,8.1 m,3.7,26,10.9,26,7.3,26,6.9,26,8.8,26,8.1,25,7.4,26,8.1,25,8.5,26,2024-06-16,-27.4808,153.0389,1002.1,0,22.9,42,0,0,37.7,26,69.7,26,25,32.1,26,0
040913,Brisbane,2004,1,9,2004-01-09,31.3,0,25,0,8.1 m,2.5,26,9.2,26,5.9,26,5.8,26,7.4,26,8,25,6,26,8,25,6.7,26,2024-06-16,-27.4808,153.0389,1012.8,0,20.5,42,1.8,0,42.9,26,61.9,26,19.6,22.2,26,0
040913,Brisbane,2004,1,10,2004-01-10,32.1,0,23,0,8.1 m,4.7,26,6.8,26,5.8,26,4.7,26,5.7,26,5,25,5.9,26,5,25,5.6,26,2024-06-16,-27.4808,153.0389,1013.6,0,18.8,42,2.4,0,56.3,26,95.8,26,26.9,15.1,26,0
040913,Brisbane,2004,1,11,2004-01-11,31.6,0,25.2,0,8.1 m,4.1,26,6.7,26,5.4,26,4.5,26,5.5,26,4.8,25,5.5,26,4.8,25,5.3,26,2024-06-16,-27.4808,153.0389,1014.4,0,17.1,42,0,0,59.4,26,86.1,26,27.6,14.8,26,0
040913,Brisbane,2004,1,12,2004-01-12,31.4,0,24.7,0,8.1 m,5.8,26,9.1,26,7.5,26,6.2,26,7.4,26,6.7,25,7.6,26,6.7,25,7.1,26,2024-06-16,-27.4808,153.0389,1015.6,0,26.5,42,0,0,52.9,26,78.1,26,24.3,17.5,26,0
040913,Brisbane,2004,1,13,2004-01-13,31.8,0,22.1,0,8.1 m,5.7,26,8.9,26,7.3,26,6.2,26,7.4,26,5.8,25,7.5,26,5.8,25,7.3,26,2024-06-16,-27.4808,153.0389,1014.2,0,26.9,42,0.6,0,48.3,26,85.4,26,22.7,18.2,26,0
040913,Brisbane,2004,1,14,2004-01-14,31.1,0,24,0,8.1 m,3.9,26,6.7,26,5.3,26,4.5,26,5.5,26,3.2,25,5.4,26,3.2,25,5.3,26,2024-06-16,-27.4808,153.0389,1011.1,0,17,42,1.8,0,57.1,26,86.5,26,25.8,15,26,0
040913,Brisbane,2004,1,15,2004-01-15,28.4,0,23,0,8.1 m,3.4,26,4,26,3.7,26,3,26,3.5,26,4,25,3.7,26,4,25,3.6,26,2024-06-16,-27.4808,153.0389,1013.7,0,12.3,42,64.4,0,71.9,26,99,26,27.8,8,26,0
040913,Brisbane,2004,1,16,2004-01-16,30.2,0,23.3,0,8.1 m,5.2,26,5.3,26,5.3,26,4,26,4.5,26,4.5,25,5.4,26,4.5,25,4.7,26,2024-06-16,-27.4808,153.0389,1010.5,0,17.7,42,64.4,0,68.7,26,100,26,29.5,9.4,26,0
040913,Brisbane,2004,1,17,2004-01-17,32.9,0,25.4,0,8.1 m,2.3,26,5.3,26,3.8,26,3.6,26,4.6,26,4.5,25,3.8,26,4.5,25,4.5,26,2024-06-16,-27.4808,153.0389,1005.4,0,11.4,42,0.4,0,59,26,91,26,29.5,15.5,26,0
040913,Brisbane,2004,1,18,2004-01-18,34.4,0,23.3,0,8.1 m,6.4,26,10.8,26,8.6,26,7.3,26,8.9,26,8.4,25,8.8,26,8.4,25,8.6,26,2024-06-16,-27.4808,153.0389,1013.7,0,30.6,42,13.2,0,41.7,26,79.4,26,22.7,23.8,26,0
040913,Brisbane,2004,1,19,2004-01-19,27,0,22.5,0,8.1 m,4.7,26,6.2,26,5.5,26,4.4,26,5.1,26,5.8,25,5.6,26,5.8,25,5,26,2024-06-16,-27.4808,153.0389,1022.8,0,19.9,42,1.6,0,65.9,26,86.3,26,23.5,9.9,26,0
040913,Brisbane,2004,1,20,2004-01-20,27.1,0,20.6,0,8.1 m,1.6,26,6.9,26,4.3,26,4.5,26,5.8,26,4.8,25,4.3,26,4.8,25,5.3,26,2024-06-16,-27.4808,153.0389,1020.8,0,16.1,42,0.8,0,46.3,26,68.4,26,16.6,16,26,0
040913,Brisbane,2004,1,21,2004-01-21,28.6,0,19.2,0,8.1 m,4.8,26,7.5,26,6.1,26,5.3,26,6.3,26,5.1,25,6.3,26,5.1,25,6.4,26,2024-06-16,-27.4808,153.0389,1018.4,0,24.2,42,1.6,0,50.3,26,88.6,26,19.7,14.4,26,0
040913,Brisbane,2004,1,22,2004-01-22,30.7,0,18.8,0,8.1 m,7,26,9.7,26,8.3,26,6.7,26,8,26,6.8,25,8.6,26,6.8,25,8.1,26,2024-06-16,-27.4808,153.0389,1015.7,0,32.3,42,0,0,43.9,26,89.4,26,19.4,17.8,26,0
040913,Brisbane,2004,1,23,2004-01-23,31,0,21.3,0,8.1 m,6.8,26,9.6,26,8.2,26,6.6,26,7.8,26,7,25,8.4,26,7,25,7.8,26,2024-06-16,-27.4808,153.0389,1014.5,0,30.7,42,0,0,48.1,26,85.3,26,21.6,17.5,26,0
040913,Brisbane,2004,1,24,2004-01-24,32.1,0,22.7,0,8.1 m,6.7,26,8.6,26,7.7,26,6.1,26,7.2,26,8,25,7.8,26,8,25,7.1,26,2024-06-16,-27.4808,153.0389,1013.3,0,27.4,42,0,0,53.3,26,92.5,26,25.5,16.3,26,0
040913,Brisbane,2004,1,25,2004-01-25,31.7,0,20.7,0,8.1 m,4.6,26,7,26,5.8,26,4.9,26,6,26,5.6,25,5.9,26,5.6,25,6,26,2024-06-16,-27.4808,153.0389,1012.9,0,20.5,42,59.6,0,51.3,26,98.3,26,24,15.9,26,0
040913,Brisbane,2004,1,26,2004-01-26,30.4,0,20.3,0,8.1 m,7.6,26,8.4,26,8,26,6.1,26,7,26,6.1,25,8.2,26,6.1,25,7.2,26,2024-06-16,-27.4808,153.0389,1010,0,30,42,34.4,0,54.6,26,99.5,26,23.7,13.8,26,0
040913,Brisbane,2004,1,27,2004-01-27,30.7,0,22.9,0,8.1 m,5.4,26,7.9,26,6.6,26,5.5,26,6.6,26,5.2,25,6.8,26,5.2,25,6.4,26,2024-06-16,-27.4808,153.0389,1010,0,23.9,42,0,0,54.6,26,86.3,26,24.1,15.4,26,0
040913,Brisbane,2004,1,28,2004-01-28,34,0,24,0,8.1 m,7.4,26,9.3,26,8.4,26,6.6,26,7.7,26,6.1,25,8.6,26,6.1,25,7.6,26,2024-06-16,-27.4808,153.0389,1007.1,0,28.6,42,0,0,52.4,26,93.5,26,27.9,18.3,26,0
040913,Brisbane,2004,1,29,2004-01-29,35,0,20.8,0,8.1 m,5.7,26,9,26,7.4,26,6.4,26,7.8,26,5.7,25,7.5,26,5.7,25,7.8,26,2024-06-16,-27.4808,153.0389,1007.3,0,26.3,42,5.6,0,42.7,26,97.7,26,24,22.1,26,0
040913,Brisbane,2004,1,30,2004-01-30,33.6,0,21.6,0,8.1 m,4.7,26,8.7,26,6.7,26,6,26,7.4,26,7,25,6.8,26,7,25,7.3,26,2024-06-16,-27.4808,153.0389,1006.3,0,23.9,42,1.8,0,43.8,26,88.4,26,22.8,21.1,26,0
040913,Brisbane,2004,1,31,2004-01-31,34.8,0,17.9,0,8.1 m,8.1,26,8.7,26,8.4,26,6.6,26,7.7,26,8.8,25,8.6,26,8.8,25,8.1,26,2024-06-16,-27.4808,153.0389,1001.6,0,30.5,42,14.6,0,46,26,100,26,25.6,18.2,26,0
040913,Brisbane,2004,2,1,2004-02-01,34.6,0,16.5,0,8.1 m,4.6,26,11.7,26,8.2,26,7.7,26,9.9,26,8.6,25,8.4,26,8.6,25,9.1,26,2024-06-16,-27.4808,153.0389,1003.8,0,32.5,42,0,0,24.9,26,73,26,13.7,28.9,26,0
040913,Brisbane,2004,2,2,2004-02-02,31,0,22.3,0,8.1 m,0.4,26,6.5,26,3.5,26,4.1,26,5.7,26,5.8,25,3.5,26,5.8,25,4.8,26,2024-06-16,-27.4808,153.0389,1007.1,0,10.3,42,0,0,41.8,26,69.8,26,18.8,20.8,26,0
040913,Brisbane,2004,2,3,2004-02-03,25.6,0,17.8,0,8.1 m,0.6,26,1.9,26,1.2,26,1.9,26,2.6,26,1.8,25,1.2,26,1.8,25,2.5,26,2024-06-16,-27.4808,153.0389,1005.1,0,3.5,42,65,0,61.2,26,98.7,26,20.1,9.1,26,0
040913,Brisbane,2004,2,4,2004-02-04,28.7,0,18.9,0,8.1 m,5.1,26,8.6,26,6.9,26,5.9,26,7.1,26,6.8,25,7,26,6.8,25,6.8,26,2024-06-16,-27.4808,153.0389,1013.2,0,27.7,42,9.2,0,45.2,26,81.6,26,17.8,16.3,26,0
040913,Brisbane,2004,2,5,2004-02-05,27.9,0,20.3,0,8.1 m,4,26,6.6,26,5.3,26,4.6,26,5.6,26,4.5,25,5.4,26,4.5,25,5.3,26,2024-06-16,-27.4808,153.0389,1017.4,0,20.3,42,0,0,54.8,26,86.5,26,20.6,13,26,0
040913,Brisbane,2004,2,6,2004-02-06,28.9,0,19.6,0,8.1 m,5.4,26,8.5,26,7,26,5.8,26,7,26,6.5,25,7.1,26,6.5,25,6.7,26,2024-06-16,-27.4808,153.0389,1018.6,0,27.6,42,0,0,47.7,26,83.3,26,19,15.8,26,0
040913,Brisbane,2004,2,7,2004-02-07,29.6,0,19.3,0,8.1 m,5.3,26,9.6,26,7.5,26,6.3,26,7.8,26,6,25,7.6,26,6,25,7.3,26,2024-06-16,-27.4808,153.0389,1017.9,0,29.7,42,0,0,41.2,26,76.4,26,17.1,18.6,26,0
040913,Brisbane,2004,2,8,2004-02-08,29.6,0,19.8,0,8.1 m,4.1,26,7,26,5.6,26,4.9,26,6,26,5.7,25,5.7,26,5.7,25,5.7,26,2024-06-16,-27.4808,153.0389,1016.6,0,21.1,42,0,0,50.2,26,90.1,26,20.8,15.2,26,0
040913,Brisbane,2004,2,9,2004-02-09,31.4,0,20.8,0,8.1 m,6.9,26,8.6,26,7.8,26,6.1,26,7.1,26,6.9,25,7.9,26,6.9,25,6.9,26,2024-06-16,-27.4808,153.0389,1014.7,0,28.7,42,0,0,51.1,26,95.7,26,23.5,16,26,0
040913,Brisbane,2004,2,10,2004-02-10,32.4,0,21.4,0,8.1 m,7.5,26,9.4,26,8.4,26,6.5,26,7.7,26,6.7,25,8.6,26,6.7,25,7.3,26,2024-06-16,-27.4808,153.0389,1013.3,0,30.5,42,0,0,49.6,26,94.6,26,24.1,17.5,26,0
040913,Brisbane,2004,2,11,2004-02-11,32.7,0,23.1,0,8.1 m,6.9,26,9,26,7.9,26,6.2,26,7.3,26,7,25,8.1,26,7,25,6.9,26,2024-06-16,-27.4808,153.0389,1013.5,0,28,42,0,0,52.6,26,92,26,26,17.2,26,0
040913,Brisbane,2004,2,12,2004-02-12,33.2,0,24.5,0,8.1 m,6.9,26,9,26,7.9,26,6.2,26,7.3,26,6.3,25,8.1,26,6.3,25,6.8,26,2024-06-16,-27.4808,153.0389,1013.4,0,27.2,42,0,0,54.3,26,89.8,26,27.6,17.4,26,0
